date,open,high,close,low,volume,amount
2016-12-30,3.35,3.4,3.38,3.35,3043606.0,23113899.0
2016-12-29,3.37,3.39,3.35,3.35,2646800.0,20044777.0
2016-12-28,3.36,3.4,3.37,3.34,3516788.0,26685116.0
2016-12-27,3.34,3.38,3.35,3.34,3130529.0,23621771.0
2016-12-26,3.29,3.37,3.37,3.27,3288319.0,24481103.0
2016-12-23,3.36,3.37,3.32,3.3,2910989.0,21774545.0
2016-12-22,3.37,3.39,3.35,3.34,2848701.0,21496918.0
2016-12-21,3.36,3.38,3.38,3.33,3708850.0,28023870.0
2016-12-20,3.36,3.37,3.33,3.31,3259355.0,24382856.0
2016-12-19,3.37,3.39,3.36,3.34,3458447.0,26080513.0
2016-12-16,3.3,3.37,3.37,3.3,4417085.0,33198402.0
2016-12-15,3.25,3.33,3.3,3.25,3885664.0,28783641.0
2016-12-14,3.33,3.33,3.27,3.26,4854300.0,35899854.0
2016-12-13,3.29,3.35,3.33,3.26,4629777.0,34393362.0
2016-12-12,3.56,3.58,3.28,3.25,10271200.0,78441418.0
2016-12-09,3.59,3.59,3.57,3.56,3843997.0,30843150.0
2016-12-08,3.62,3.62,3.59,3.57,3829378.0,30844014.0
2016-12-07,3.57,3.6,3.6,3.55,6047928.0,48595303.0
2016-12-06,3.58,3.62,3.57,3.55,4479331.0,36004592.0
2016-12-05,3.56,3.69,3.58,3.54,6491038.0,52277741.0
2016-12-02,3.66,3.73,3.64,3.64,8347080.0,69078290.0
2016-12-01,3.62,3.66,3.66,3.62,4133388.0,33751214.0
2016-11-30,3.66,3.69,3.62,3.57,11096720.0,90344139.0
2016-11-29,3.74,3.78,3.66,3.64,9222687.0,76646521.0
2016-11-28,3.78,3.79,3.73,3.73,5687661.0,47998486.0
2016-11-25,3.73,3.78,3.77,3.65,8391848.0,70049028.0
2016-11-24,3.79,3.81,3.73,3.72,9194375.0,77704236.0
2016-11-23,3.85,3.87,3.82,3.78,7064464.0,60568058.0
2016-11-22,3.82,3.86,3.84,3.81,6208916.0,53532664.0
